,Element_Type,Occurence
1,C,798
2,P,459
3,Co,420
4,Mo,387
5,N,369
6,S,317
7,Ni,289
8,O,245
9,Ru,142
10,Fe,125
11,Pt,102
12,W,101
13,Se,86
14,Cu,77
15,Ti,52
16,Ir,44
17,Pd,44
18,Rh,42
19,Mn,26
20,V,26
21,B,22
22,Zn,22
23,F,17
24,Te,14
25,Cl,13
26,Si,10
27,Sn,10
28,Ag,10
29,Re,9
30,Au,9
31,Ce,7
32,Al,6
33,Na,6
34,Bi,6
35,Os,4
36,Ge,4
37,Mg,3
38,Ta,3
39,Cr,3
40,Ca,3
41,Nb,3
42,Zr,3
43,La,2
44,Er,2
45,I,2
46,Sb,2
47,Pb,2
48,Li,2
49,Cd,1
50,In,1
51,Sr,1
52,Br,1
53,Pr,1
54,Nd,1
55,K,1
